,ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography
0,0,Owner Occupied,2019,2019,77274381,377633.0,United States,01000US,united-states
1,1,Renter Occupied,2019,2019,43481667,144458.0,United States,01000US,united-states
2,0,Owner Occupied,2019,2019,291471,2164.0,Montana,04000US30,montana
3,1,Renter Occupied,2019,2019,136400,2173.0,Montana,04000US30,montana
4,0,Owner Occupied,2019,2019,5333,262.0,"Park County, MT",05000US30067,park-county-mt
5,1,Renter Occupied,2019,2019,2449,277.0,"Park County, MT",05000US30067,park-county-mt
6,0,Owner Occupied,2019,2019,208,59.0,"Gardiner, MT",16000US3029950,gardiner-mt
7,1,Renter Occupied,2019,2019,284,88.0,"Gardiner, MT",16000US3029950,gardiner-mt
8,0,Owner Occupied,2019,2019,39739,713.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
9,1,Renter Occupied,2019,2019,21671,852.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
10,0,Owner Occupied,2018,2018,76444810,367132.0,United States,01000US,united-states
11,1,Renter Occupied,2018,2018,43285318,139467.0,United States,01000US,united-states
12,0,Owner Occupied,2018,2018,286553,2349.0,Montana,04000US30,montana
13,1,Renter Occupied,2018,2018,136687,2049.0,Montana,04000US30,montana
14,0,Owner Occupied,2018,2018,5314,292.0,"Park County, MT",05000US30067,park-county-mt
15,1,Renter Occupied,2018,2018,2377,280.0,"Park County, MT",05000US30067,park-county-mt
16,0,Owner Occupied,2018,2018,252,82.0,"Gardiner, MT",16000US3029950,gardiner-mt
17,1,Renter Occupied,2018,2018,277,90.0,"Gardiner, MT",16000US3029950,gardiner-mt
18,0,Owner Occupied,2018,2018,38682,669.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
19,1,Renter Occupied,2018,2018,20788,759.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
20,0,Owner Occupied,2017,2017,75833135,358989.0,United States,01000US,united-states
21,1,Renter Occupied,2017,2017,42992786,134442.0,United States,01000US,united-states
22,0,Owner Occupied,2017,2017,284168,2256.0,Montana,04000US30,montana
23,1,Renter Occupied,2017,2017,135807,1774.9999999999998,Montana,04000US30,montana
24,0,Owner Occupied,2017,2017,5355,267.0,"Park County, MT",05000US30067,park-county-mt
25,1,Renter Occupied,2017,2017,2197,253.0,"Park County, MT",05000US30067,park-county-mt
26,0,Owner Occupied,2017,2017,279,81.0,"Gardiner, MT",16000US3029950,gardiner-mt
27,1,Renter Occupied,2017,2017,216,65.0,"Gardiner, MT",16000US3029950,gardiner-mt
28,0,Owner Occupied,2017,2017,38147,626.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
29,1,Renter Occupied,2017,2017,20021,632.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
30,0,Owner Occupied,2016,2016,74881068,360470.0,United States,01000US,united-states
31,1,Renter Occupied,2016,2016,42835169,142056.0,United States,01000US,united-states
32,0,Owner Occupied,2016,2016,277307,2223.0,Montana,04000US30,montana
33,1,Renter Occupied,2016,2016,135346,1723.0,Montana,04000US30,montana
34,0,Owner Occupied,2016,2016,5160,263.0,"Park County, MT",05000US30067,park-county-mt
35,1,Renter Occupied,2016,2016,1971,231.99999999999997,"Park County, MT",05000US30067,park-county-mt
36,0,Owner Occupied,2016,2016,297,77.0,"Gardiner, MT",16000US3029950,gardiner-mt
37,1,Renter Occupied,2016,2016,183,63.00000000000001,"Gardiner, MT",16000US3029950,gardiner-mt
38,0,Owner Occupied,2016,2016,36211,703.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
39,1,Renter Occupied,2016,2016,19317,720.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
40,0,Owner Occupied,2015,2015,74712091,353420.0,United States,01000US,united-states
41,1,Renter Occupied,2015,2015,42214214,131004.0,United States,01000US,united-states
42,0,Owner Occupied,2015,2015,275063,2320.0,Montana,04000US30,montana
43,1,Renter Occupied,2015,2015,134331,1840.9999999999998,Montana,04000US30,montana
44,0,Owner Occupied,2015,2015,5014,274.0,"Park County, MT",05000US30067,park-county-mt
45,1,Renter Occupied,2015,2015,1779,256.0,"Park County, MT",05000US30067,park-county-mt
46,0,Owner Occupied,2015,2015,314,91.0,"Gardiner, MT",16000US3029950,gardiner-mt
47,1,Renter Occupied,2015,2015,157,54.0,"Gardiner, MT",16000US3029950,gardiner-mt
48,0,Owner Occupied,2015,2015,36007,601.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
49,1,Renter Occupied,2015,2015,18710,782.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
50,0,Owner Occupied,2014,2014,74787460,343068.0,United States,01000US,united-states
51,1,Renter Occupied,2014,2014,41423632,117733.0,United States,01000US,united-states
52,0,Owner Occupied,2014,2014,276201,2280.0,Montana,04000US30,montana
53,1,Renter Occupied,2014,2014,131596,1973.0000000000002,Montana,04000US30,montana
54,0,Owner Occupied,2014,2014,4895,261.0,"Park County, MT",05000US30067,park-county-mt
55,1,Renter Occupied,2014,2014,1644,210.0,"Park County, MT",05000US30067,park-county-mt
56,0,Owner Occupied,2014,2014,358,93.0,"Gardiner, MT",16000US3029950,gardiner-mt
57,1,Renter Occupied,2014,2014,159,54.99999999999999,"Gardiner, MT",16000US3029950,gardiner-mt
58,0,Owner Occupied,2014,2014,35142,761.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
59,1,Renter Occupied,2014,2014,18301,745.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
60,0,Owner Occupied,2013,2013,75075700,345645.0,United States,01000US,united-states
61,1,Renter Occupied,2013,2013,40534516,114260.0,United States,01000US,united-states
62,0,Owner Occupied,2013,2013,276939,2112.0,Montana,04000US30,montana
63,1,Renter Occupied,2013,2013,128586,1495.0,Montana,04000US30,montana
64,0,Owner Occupied,2013,2013,4841,275.0,"Park County, MT",05000US30067,park-county-mt
65,1,Renter Occupied,2013,2013,1604,232.99999999999997,"Park County, MT",05000US30067,park-county-mt
66,0,Owner Occupied,2013,2013,340,67.0,"Gardiner, MT",16000US3029950,gardiner-mt
67,1,Renter Occupied,2013,2013,129,49.0,"Gardiner, MT",16000US3029950,gardiner-mt
68,0,Owner Occupied,2013,2013,34966,792.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
69,1,Renter Occupied,2013,2013,17835,716.0,"Bozeman City PUMA, MT",79500US3000500,bozeman-city-puma-mt
